G1,G2,G3,G4,G5,G6
6.7217,6.7293,8.041,10.834000000000001,8.7566,12.856
9.0705,8.5063,8.2632,10.292,8.6261,12.015
9.6704,7.5329,8.2076,10.097999999999999,7.8012,10.627
8.8969,10.262,7.5133,10.639000000000001,7.6454,11.71
8.0941,10.592,6.8468,8.7631,10.448,11.853
9.26,10.682,7.9716,10.612,7.4542,11.869000000000002
8.0488,10.255999999999998,9.9017,10.626,6.2871,12.448
8.6352,10.482999999999999,8.9852,9.6656,7.9931,9.0599
7.7176,10.671,10.181000000000001,10.431,6.1946,11.51
7.5921,9.4439,7.9299,10.472999999999999,6.8024,11.475
7.2714,10.895999999999999,8.9991,10.445,6.7429,11.05
7.4966,10.295,7.1662,10.514000000000001,8.4812,10.929
6.1725,10.902000000000001,8.9158,10.152999999999999,8.5865,10.36
6.6465,8.0781,8.2909,9.8878,7.5381,9.722000000000001
6.7305,8.5107,6.2775,8.7631,7.0938,12.027999999999999
5.4012,9.8654,8.888,9.3324,8.8026,12.195
4.958,9.8654,9.5962,10.402999999999999,8.0745,10.002
5.9695,8.5512,7.7216,9.3046,7.4694,10.655
5.5864,11.11,7.9021,10.917,8.1998,9.5246
6.4652,10.593,8.9575,9.9729,6.5856,9.3713
6.4992,8.0832,9.1935,10.806,7.4504,9.6909
6.1207,6.8508,7.68,10.459000000000001,7.8296,9.6409
6.2209,6.7301,9.1519,10.862,8.0884,9.3885
7.1768,8.3851,7.68,9.9729,9.5873,10.934000000000001
5.3533,7.7115,8.7492,9.6379,8.5614,11.214
5.9463,9.1572,7.1801,9.749,10.12,10.051
5.6039,6.8391,7.2634,11.82,7.9958,10.939
5.755,9.001,8.5825,10.987,8.418,13.622
4.656000000000001,8.7717,8.8464,9.263,9.6865,12.062999999999999
6.2432,8.8741,7.6105,10.57,8.5582,11.999
6.0742,7.5837,8.3465,10.514000000000001,9.3085,10.687000000000001
4.3132,5.2311,6.7913,10.597999999999999,9.4898,10.845
4.8329,9.5938,8.2354,11.75,10.232999999999999,11.030999999999999
4.9798,9.3429,9.0547,10.389000000000001,6.8882,13.261
6.125,6.7569,8.5687,10.459000000000001,9.8144,11.667
4.9905,6.013,9.5684,9.499,7.459,10.467
4.8914,6.3592,7.2912,10.431,9.9175,12.308
3.7032,5.6914,6.8468,10.362,9.3535,10.186
6.1222,6.7118,8.3187,10.084,7.2458,11.097999999999999
5.5214,5.069,9.3046,9.6379,6.934,10.747
6.2005,6.7574,8.9852,10.334000000000001,7.7170000000000005,11.942
6.1122,7.9381,8.7908,9.3602,7.4510000000000005,10.254000000000001
6.3889,6.9685,7.7216,10.737,6.0362,12.087
5.2399,5.6159,8.4159,10.015,7.4863,13.261
4.3786,6.2737,8.4159,10.402999999999999,6.7288,12.564
4.9054,5.5235,7.8466,8.6103,7.8826,12.773
4.5244,6.3728,7.4578,10.626,7.2381,12.536
4.7193,6.1419,8.6797,8.527000000000001,10.08,13.305
6.079,6.2329,8.6936,9.7073,10.367,11.937999999999999
5.8851,5.3864,8.5131,10.681,6.8385,12.515999999999998
5.4121,7.336,9.3879,9.5407,7.2993,11.834000000000001
5.8042,5.5586,7.6244,10.152999999999999,6.0327,13.857999999999999
5.9325,5.8343,8.6381,10.806,9.0896,13.107999999999999
4.2921,5.6432,9.1102,10.402999999999999,8.5958,12.269
4.7528,5.5627,11.152999999999999,11.181,6.9322,13.270999999999999
6.5824,7.255,9.8462,10.222999999999999,9.2335,12.923
4.3315,5.9872,8.2354,10.542,6.4372,12.130999999999998
5.2964,7.0562,10.027999999999999,11.222999999999999,6.2675,10.616
5.767,7.7026,10.777999999999999,10.152999999999999,6.974,11.694
6.3905,5.9051,10.167,10.917,7.2746,12.472000000000001
5.3298,6.6425,8.5825,11.112,8.5806,12.189
4.3155,8.2961,9.5268,9.9295,6.9428,10.975
6.7283,7.0909,8.5131,11.32,9.3286,11.19
6.9293,8.355,10.195,11.402999999999999,9.1615,10.494000000000002
5.4224,7.9538,9.499,11.667,9.0756,11.84
6.2658,7.4639,8.8741,12.375,7.3612,12.987
5.8851,6.5957,8.2632,10.402999999999999,6.4337,11.554
7.3682,6.2931,9.374,12.167,7.6949,11.985
4.3115,5.6719,9.1519,11.0,9.4143,9.3606
4.687,7.0825,7.4994,11.181,10.26,12.398
4.6681,6.9504,8.1937,11.112,9.7813,9.9892
4.7704,6.9386,8.6659,11.375,8.4528,11.591
4.7696,5.5811,9.7767,12.084000000000001,9.0143,10.019
4.9007,6.7927,7.4578,11.639000000000001,7.6198,12.078
